Source,Target,Source_Label,Target_Label,Type,Category,Evidence Notes,URL,Strength,Frequency
A020,A011,Netzwerk Solidarische Landwirtschaft e.V.,BioRegion Havelland,undirected,Institutional/Organisational,Stated partner,https://www.bioregion-havelland.de/index.php/kooperationspartner/,,
A021,A001,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e. V.,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A022,A001,Heinrich Böll Stiftung,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A023,A001,Bündnis Junge Landwirtschaft ,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A024,A001,Einführungsseminare Ökolandbau ,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A025,A001,Wir haben es satt!,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A063,A001,Agrathaer GmbH,SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A026,A001,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A027,A001,IG BAU (Industriegewerkschaft Bauen-Agrar-Umwelt),SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A028,A001,Fridays for Future ,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A029,A001,INISEK (Initiative Sekundarstufe I),SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A030,A001,Jugend und Sport des Landes Brandenburg,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A031,A001,Schule am Plessower See,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A032,A001,Schule des Lebens,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A033,A001,Independent Living Stiftung,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A034,A001,WWOOF: Worldwide Opportunities on Organic Farms,SoLaWi BAUERei Potsdam-Grube,undirected,Educational,,,,
A035,A001,Montelino im Volkspark (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A036,A001,Maulbeerallee (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A037,A001,Nansenstraße (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A038,A001,Lottenhof (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A039,A001,Einsteinstraße (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A040,A001,Projekthaus Babelsberg (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A041,A001,Uferwerk eG (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A042,A001,Werder/Kesselgrundstraße (Depot),SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A043,A001,BikeBash,SoLaWi BAUERei Potsdam-Grube,undirected,Social,Social media posts,,,
A064,A001,GLS Bank,SoLaWi BAUERei Potsdam-Grube,undirected,Financial,,,,
A044,A001,Gud Berlin ,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A086,A001,SoLaWi Members (BAUERei),SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A010,A009,Netzwerk “Hier kommt dein Essen her”,Ernährungsrat Brandenburg,undirected,Institutional/Organisational,,,,
A021,A010,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e. V.,Netzwerk “Hier kommt dein Essen her”,undirected,Institutional/Organisational,,,,
A077,A063,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",Agrathaer GmbH,directed,Institutional/Organisational,"Agrathaer GmbH is the official Innovation Service Provider (Innovationsdienstleister) for EIP-AGRI in Brandenburg, appointed to support Operational Groups and innovation projects on behalf of MLUK Brandenburg.",https://agrathaer.de/projekte/,,
A030,A031,Jugend und Sport des Landes Brandenburg,Schule am Plessower See,undirected,Educational,,,,
A030,A032,Jugend und Sport des Landes Brandenburg,Schule des Lebens,undirected,Educational,,,,
A018,A019,AWO Grundschule,"AWO Grundschule ""Marie Juchacz""",undirected,Institutional/Organisational,,,,
A022,A024,Heinrich Böll Stiftung,Einführungsseminare Ökolandbau,undirected,Educational,,,,
A023,A024,Bündnis Junge Landwirtschaft,Einführungsseminare Ökolandbau,undirected,Educational,,,,
A063,A024,Agrathaer GmbH,Einführungsseminare Ökolandbau,undirected,Educational,,,,
A026,A024,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Einführungsseminare Ökolandbau,undirected,Institutional/Organisational,,,,
A027,A020,IG BAU (Industriegewerkschaft Bauen-Agrar-Umwelt),Netzwerk Solidarische Landwirtschaft e.V.,undirected,Social,,,,
A011,A049,BioRegion Havelland,Freie Waldorfschule Werder/Havel,directed,Educational,The Waldorfschule is publicly listed as a BioRegion Havelland cooperation partner and participates in regional food education activities. ,Kooperationspartner page,,
A046,A011,BIOHOF WERDER,BioRegion Havelland,directed,Produce,BioRegion Havelland identifies BIOHOF WERDER as a regional organic produce partner supplying fruit/vegetable products into the regional food network. ,BIOHOF WERDER partner listing,,
A011,A044,BioRegion Havelland,Gud Berlin,undirected,Institutional/Organisational,Gud Berlin is an official partner business of the BioRegion Havelland project.,https://www.bioregion-havelland.de/partnerbetriebe/,,
A047,A011,BioInsel Rathenow & Albertinenhof Havelland,BioRegion Havelland,directed,Produce,The MAZ article identifies BioInsel Rathenow as a partner enterprise supplying bio-regional food products within the network.,MAZ article on BioRegion Havelland partners,,
A048,A011,Der Obstbäumerich mit Obstmuckelei,BioRegion Havelland,directed,Produce,BioRegion Havelland publicly lists Der Obstbäumerich mit Obstmuckelei as a produce partner operation. ,Kooperationspartner page,,
A011,A010,BioRegion Havelland,Netzwerk “Hier kommt dein Essen her”,directed,Institutional/Organisational,Listed as part of regional food transparency and direct marketing ecosystem,https://hierkommtdeinessenher.de,,
A049,A011,Freie Waldorfschule Werder/Havel,BioRegion Havelland,undirected,Social,"BioRegion events include “Zu Tisch im Havelland an der Waldorfschule Werder,” showing reciprocal participation in public events. ",BioRegion Havelland events calendar,,
A050,A011,GÖHLSDORFER HOF,BioRegion Havelland,directed,Produce,GÖHLSDORFER HOF is publicly listed as a partner farm/business in the BioRegion Havelland network. ,Kooperationspartner page,,
A051,A011,GUTER KONSUM – Bio Dorfladen,BioRegion Havelland,directed,Produce,GUTER KONSUM is listed as a regional retail/distribution partner in the network. ,Kooperationspartner page,,
A052,A011,Mostmanufaktur Havelland,BioRegion Havelland,directed,Produce,Mostmanufaktur Havelland is identified as a partner enterprise processing regional fruit into juices/products. ,MAZ article on network partners,,
A053,A011,OBSTBAU BITTNER,BioRegion Havelland,directed,Produce,OBSTBAU BITTNER is publicly listed as a BioRegion partner enterprise focused on fruit production. ,Kooperationspartner page,,
A054,A011,Restaurant Theo im Fontane-Klub,BioRegion Havelland,directed,Produce,Restaurant Theo participates as a gastronomy outlet serving products from the BioRegion network. ,BioRegion Havelland events and partners,,
A054,A011,Restaurant Theo im Fontane-Klub,BioRegion Havelland,undirected,Social,"Restaurant Theo hosts “Zu Tisch im Havelland” events, demonstrating reciprocal public engagement.",BioRegion Havelland events calendar,,
A055,A011,Sanddorn Christine Berger GmbH & Co.KG,BioRegion Havelland,undirected,Produce,Sanddorn Christine Berger GmbH & Co.KG is listed as a regional processing/produce partner in the BioRegion network. ,Kooperationspartner page,,
A011,A006,BioRegion Havelland,Ökonauten eG,undirected,Institutional/Organisational,Ökonauten eG listed as cooperation partner in BioRegion Havelland network registry,https://www.bioregion-havelland.de/index.php/kooperationspartner/,,
A001,A011,SoLaWi BAUERei Potsdam-Grube,BioRegion Havelland,undirected,Social,BAUERei hosts BioRegion public “Farm-to-table Dinner” events. ,BioRegion Havelland event listing,,
A001,A011,SoLaWi BAUERei Potsdam-Grube,BioRegion Havelland,undirected,Educational,BAUERei functions as a BNE-oriented learning farm and participates in BioRegion knowledge-sharing and public Educational programming.,BioRegion project description,,
A056,A011,HAVELKNOLLE,BioRegion Havelland,directed,Produce,HAVELKNOLLE is listed as a regional produce partner supplying vegetables through the network. ,Kooperationspartner page,,
A057,A011,LandWertSchaffen – mit Hand und Huf,BioRegion Havelland,directed,Produce,LandWertSchaffen is publicly identified as a SoLaWi produce partner in the network. ,Kooperationspartner page,,
A058,A011,Luch Gärtnerei,BioRegion Havelland,directed,Produce,Luch Gärtnerei is described as part of the partner produce network supplying regional vegetables. ,MAZ article on partner enterprises,,
A059,A011,VON HAND Blumen und Gemüse,BioRegion Havelland,directed,Produce,VON HAND Blumen und Gemüse is publicly listed as a partner producer. ,Kooperationspartner page,,
A059,A011,VON HAND Blumen und Gemüse,BioRegion Havelland,undirected,Social,VON HAND co-hosts recurring “Farm-to-table Aperitivo” events with the BioRegion ecosystem. ,BioRegion Havelland events page,,
A011,A054,BioRegion Havelland,Restaurant Theo im Fontane-Klub,undirected,Institutional/Organisational,Restaurant Theo is an official partner business of the BioRegion Havelland project and participates in the regional food network.,https://www.bioregion-havelland.de/index.php/partnerbetriebe/,,
A011,A001,BioRegion Havelland,SoLaWi BAUERei Potsdam-Grube,undirected,Social,,,,
A061,A011,Weingut Swillus,BioRegion Havelland,directed,Produce,Weingut Swillus is publicly listed as a regional wine-producing partner in the BioRegion network. ,Kooperationspartner page,,
A009,A008,Ernährungsrat Brandenburg,Ernährungsrat Potsdam (Food Council Potsdam),directed,Financial,,,,
A014,A011,Land Brandenburg,BioRegion Havelland,directed,Financial,BioRegion Havelland publicly states it is “gefördert von Land Brandenburg.” ,BioRegion Havelland footer statement,,
A062,A011,European Union,BioRegion Havelland,directed,Financial,BioRegion Havelland states it is “kofinanziert von der Europäischen Union.” ,BioRegion Havelland footer statement,,
A020,A021,Netzwerk Solidarische Landwirtschaft e.V.,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),undirected,Educational,The organisations are official cooperation partners and collaborate to strengthen learning on farms and education for sustainable agriculture.,https://www.solidarische-landwirtschaft.org/das-netzwerk/partner-kooperationen/,,
A063,A011,Agrathaer GmbH,BioRegion Havelland,undirected,Educational,Shared research + knowledge transfer in sustainable agriculture innovation,https://www.bioregion-havelland.de/index.php/kooperationspartner/,,
A011,A001,BioRegion Havelland,SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,BAUERei Grube is publicly listed as a partner SoLaWi operation within BioRegion Havelland. ,Kooperationspartner page,,
A010,A011,Netzwerk “Hier kommt dein Essen her”,BioRegion Havelland,undirected,Social,Shared food system transparency initiatives and public engagement formats,https://www.bioregion-havelland.de/index.php/kooperationspartner/,,
A009,A008,Ernährungsrat Brandenburg,Ernährungsrat Potsdam (Food Council Potsdam),directed,Institutional/Organisational,Ernährungsrat Potsdam is explicitly described as a regional food council within the Ernährungsrat Brandenburg network structure (umbrella organisation of regional Ernährungsräte),https://www.ernaehrungsrat-brandenburg.de/regionale-raete/ernaehrungsrat-potsdam/,,
A009,A016,Ernährungsrat Brandenburg,Heimvolksschule am Seddiner See e.V.,undirected,Educational,"The Heimvolkshochschule hosted the Brandenburg networking event “Nachhaltige Ernährungsumgebungen”, organised by the Ernährungsrat Brandenburg.",https://www.ernaehrungsrat-brandenburg.de/wp-content/uploads/2024/07/Programm-der-Vernetzungsveranstaltung-10.07.-Heimvolkshochschule-Seddiner-See.pdf,,
A006,A066,Ökonauten eG,BioBoden Genossenschaft eG,undirected,Institutional/Organisational,Listed as part of regional land access / farmland acquisition cooperatives in Berlin-Brandenburg agroecology network,https://www.ecologic.eu/sites/default/files/publication/2024/30000-KOPOS-Neue-Kooperationsformen-fuer-die-Transformation-regionaler-AFS.pdf,,
A006,A067,Ökonauten eG,Kulturland eG,undirected,Institutional/Organisational,Jointly described as “Landkaufgenossenschaften” operating in Berlin-Brandenburg agricultural transformation network,https://www.ecologic.eu/sites/default/files/publication/2024/30000-KOPOS-Neue-Kooperationsformen-fuer-die-Transformation-regionaler-AFS.pdf,,
A006,A001,Ökonauten eG,SoLaWi BAUERei Potsdam-Grube,directed,Institutional/Organisational,BAUERei Potsdam-Grube is explicitly described as one of Ökonauten’s project farms and educational site,https://bauerei-potsdam-grube.de/oekonauten/,,
A001,A006,SoLaWi BAUERei Potsdam-Grube,Ökonauten eG,undirected,Educational,BAUERei operates as a long-term educational farm within Ökonauten Genossenschaft structure,https://bauerei-potsdam-grube.de/oekonauten/,,
A006,A068,Ökonauten eG,Regionalwert AG Berlin-Brandenburg,undirected,Institutional/Organisational,Listed as part of Berlin-Brandenburg sustainable agriculture investment and land-use network,https://www.regionalwert-berlin.de/darum-gehts/das-regionalwert-netzwerk/,,
A006,A069,Ökonauten eG,FÖL Berlin-Brandenburg,undirected,Institutional/Organisational,Mentioned as part of regional organic agriculture organisational ecosystem (network description),https://www.regionalwert-berlin.de/darum-gehts/das-regionalwert-netzwerk/,,
A010,A070,Netzwerk “Hier kommt dein Essen her”,BNE-Servicestelle Brandenburg,undirected,Educational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A071,Netzwerk “Hier kommt dein Essen her”,Vernetzungsstelle Schulverpflegung Brandenburg,undirected,Educational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A021,Netzwerk “Hier kommt dein Essen her”,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),undirected,Educational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A072,Netzwerk “Hier kommt dein Essen her”,Evangelische Schule Berlin-Friedrichshain,undirected,Educational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A021,Netzwerk “Hier kommt dein Essen her”,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),undirected,Institutional/Organisational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A073,Netzwerk “Hier kommt dein Essen her”,Sarah Wiener Stiftung,undirected,Educational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A074,Netzwerk “Hier kommt dein Essen her”,1 Hektar Zukunft,undirected,Institutional/Organisational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A010,A075,Netzwerk “Hier kommt dein Essen her”,GemüseBeatz,undirected,Institutional/Organisational,Explicitly listed as network member,https://www.ernaehrungsrat-brandenburg.de/projekte/netzwerk-hier-kommt-dein-essen-her-ab-2021-fortlaufend/,,
A013,A079,LEADER program,LEADER-Region Fläming-Havel,directed,Institutional/Organisational,The LEADER programme officially recognises LEADER-Region Fläming-Havel as one of Brandenburg’s Local Action Groups for the 2023–2027 funding period.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A077,A017,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",BNE Brandenburg,directed,Financial,The BNE Brandenburg project is funded through the Brandenburg ministry’s programme for Education for Sustainable Development (BNE).,https://www.bne-brandenburg.de/,,
A076,A078,"Landesamt für Ländliche Entwicklung, Landwirtschaft und Flurneuordnung (LELF Brandenburg)",LEADER-Region Havelland (LAG Havelland),directed,Institutional/Organisational,LELF funds and supervises Local Action Groups under LEADER framework,https://lelf.brandenburg.de,,
A062,A013,European Union,LEADER program,directed,Financial,LEADER is funded under EU Common Agricultural Policy (ELER),https://ec.europa.eu/info/food-farming-fisheries/key-policies/common-agricultural-policy/rural-development_en,,
A013,A078,LEADER program,LEADER-Region Havelland (LAG Havelland),directed,Institutional/Organisational,The LEADER programme officially recognises and funds the LEADER-Region Havelland as one of Brandenburg’s Local Action Groups for the 2023–2027 funding period.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A013,A080,LEADER program,LEADER-Region Märkische Seen,directed,Institutional/Organisational,The LEADER programme officially recognises LEADER-Region Märkische Seen as one of Brandenburg’s Local Action Groups for the 2023–2027 funding period.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A013,A082,LEADER program,LEADER-Region Spree-Neiße,directed,Institutional/Organisational,The LEADER programme officially recognises LEADER-Region Spree-Neiße as one of Brandenburg’s Local Action Groups for the 2023–2027 funding period.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A012,A009,Stadt-Land.move e.V.,Ernährungsrat Brandenburg,directed,Institutional/Organisational,Stadt-Land.move e.V. is the official supporting organisation (Trägerverein) of the Ernährungsrat Brandenburg.,https://www.ernaehrungsrat-brandenburg.de/ueber-uns/,,
A015,A008,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,Ernährungsrat Potsdam (Food Council Potsdam),directed,Financial,The Ernährungsrat Potsdam’s Stadtacker project receives funding through the ELER programme.,https://www.ernaehrungsrat-brandenburg.de/regionale-raete/ernaehrungsrat-potsdam/,,
A012,A008,Stadt-Land.move e.V.,Ernährungsrat Potsdam (Food Council Potsdam),undirected,Institutional/Organisational,Stadt-Land.move e.V. acts as the supporting organisation and organisational host for the Ernährungsrat Potsdam.,https://www.gemeinsam-fuer-potsdam.de/wettbewerb/umwelt-naturschutz-wettbewerb/stadt-land-move-werkstatt-fuer-sozial-oekologischen-wandel-e-v-ernaehrungsrat-potsdam/,,
A014,A013,Land Brandenburg,LEADER program,directed,Financial,The State of Brandenburg co-finances and implements the LEADER programme alongside ELER funding.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A014,A078,Land Brandenburg,LEADER-Region Havelland (LAG Havelland),directed,Institutional/Organisational,The State of Brandenburg officially recognises and supports the LEADER regions as part of its rural development strategy.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A014,A079,Land Brandenburg,LEADER-Region Fläming-Havel,directed,Institutional/Organisational,The State of Brandenburg officially recognises and supports the LEADER regions as part of its rural development strategy.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A014,A080,Land Brandenburg,LEADER-Region Märkische Seen,directed,Institutional/Organisational,The State of Brandenburg officially recognises and supports the LEADER regions as part of its rural development strategy.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A014,A081,Land Brandenburg,LEADER-Region Uckermark,directed,Institutional/Organisational,The State of Brandenburg officially recognises and supports the LEADER regions as part of its rural development strategy.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A014,A082,Land Brandenburg,LEADER-Region Spree-Neiße,directed,Institutional/Organisational,The State of Brandenburg officially recognises and supports the LEADER regions as part of its rural development strategy.,https://mleuv.brandenburg.de/mleuv/de/land-und-ernaehrungswirtschaft/laendliche-entwicklung/leader/,,
A015,A013,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,LEADER program,directed,Financial,ELER provides the funding framework for the implementation of LEADER in Brandenburg.,https://lelf.brandenburg.de/lelf/de/service/foerderung/leader/,,
A015,A011,(ELER program) Europäischer Landwirtschaftsfonds für die Entwicklung des ländlichen Raums,BioRegion Havelland,directed,Financial,BioRegion Havelland receives support through ELER as part of Brandenburg’s rural development programme.,https://www.bioregion-havelland.de/,,
A009,A001,Ernährungsrat Brandenburg,SoLaWi BAUERei Potsdam-Grube,directed,Financial,,,,
A012,A016,Stadt-Land.move e.V.,Heimvolksschule am Seddiner See e.V.,undirected,Educational,Stadt-Land.move e.V. co-organised the Brandenburg networking event “Nachhaltige Ernährungsumgebungen” held at the Heimvolkshochschule.,https://www.ernaehrungsrat-brandenburg.de/wp-content/uploads/2024/07/Programm-der-Vernetzungsveranstaltung-10.07.-Heimvolkshochschule-Seddiner-See.pdf,,
A077,A070,"Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK Brandenburg)",BNE-Servicestelle Brandenburg,directed,Financial,MLUK commissions and financially supports the BNE-Servicestelle Brandenburg to coordinate Education for Sustainable Development (BNE) across Brandenburg.,https://www.bne-in-brandenburg.de/ueber-uns/auftrag,,
A017,A012,BNE Brandenburg,Stadt-Land.move e.V.,undirected,Educational,"Stadt-Land.move e.V. is listed as a BNE actor on the BNE Brandenburg map, participating in the state’s Education for Sustainable Development network.",https://www.bne-brandenburg.de/karte/,,
A001,A019,SoLaWi BAUERei Potsdam-Grube,"AWO Grundschule ""Marie Juchacz""",directed,Educational,BAUERei serves as an extracurricular learning site for the school and participated in the school’s 10-year anniversary celebration as an educational partner.,https://awo-potsdam.de/de/news-artikel/10-jahre-geschichte-und-es-geht-weiter/,,
A020,A023,Netzwerk Solidarische Landwirtschaft e.V.,Bündnis Junge Landwirtschaft,undirected,Institutional/Organisational,The organisations collaborate to support young farmers and advocate for sustainable agricultural transformation.,https://www.kulturland.de/partner,,
A020,A067,Netzwerk Solidarische Landwirtschaft e.V.,Kulturland eG,undirected,Institutional/Organisational,Netzwerk Solidarische Landwirtschaft lists Kulturland eG as one of its official cooperation partners.,https://www.solidarische-landwirtschaft.org/das-netzwerk/partner-kooperationen/,,
A020,A001,Netzwerk Solidarische Landwirtschaft e.V.,SoLaWi BAUERei Potsdam-Grube,undirected,Institutional/Organisational,,,,
A022,A020,Heinrich Böll Stiftung,Netzwerk Solidarische Landwirtschaft e.V.,directed,Financial,The Heinrich Böll Stiftung provides project funding for specific initiatives of the Netzwerk Solidarische Landwirtschaft.,https://www.solidarische-landwirtschaft.org/das-netzwerk/partner-kooperationen/,,
A020,A061,Netzwerk Solidarische Landwirtschaft e.V.,Weingut Swillus,undirected,Educational,Weingut Swillus is listed as the venue for the Netzwerk’s “Fit für Solawi” educational seminar programme.,https://www.solidarische-landwirtschaft.org/termine/,,
A020,A025,Netzwerk Solidarische Landwirtschaft e.V.,Wir haben es satt!,undirected,Institutional/Organisational,The network collaborates with the ‘Wir haben es satt!’ alliance to advocate for agricultural transformation.,https://www.solidarische-landwirtschaft.org/das-netzwerk/partner-kooperationen/,,
A026,A021,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),directed,Financial,BMLEH is an official partner and supporter of BAGLoB and supports its activities promoting the “Lernort Arensnest Bauernhof”.,https://baglob.de/baglob/,,
A021,A073,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),Sarah Wiener Stiftung,undirected,Institutional/Organisational,The Sarah Wiener Stiftung is an official partner organisation of BAGLoB.,https://baglob.de/baglob/,,
A021,A017,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),BNE Brandenburg,undirected,Educational,BAGLoB contributes to Education for Sustainable Development (BNE) and is listed as a provider of BNE training opportunities in Brandenburg.,https://www.bne-in-brandenburg.de/qualifizierung/externe-weiterbildungen?cHash=34fd19c6f68bbd9c44a065bdf63e5585&shortcut=1&uid=90,,
A021,A016,Bundesarbeitsgemeinschaft Lernort Arensnest Bauernhof e.V. (BAGLOB),Heimvolksschule am Seddiner See e.V.,undirected,Institutional/Organisational,"The Heimvolksschule am Seddiner See hosts the Brandenburg coordination office for LANDaktiv Brandenburg, one of BAGLoB’s official regional coordination partners.",https://baglob.de/baglob/,,
A022,A067,Heinrich Böll Stiftung,Kulturland eG,undirected,Institutional/Organisational,Kulturland eG and the Heinrich Böll Stiftung jointly organise events and collaborate on issues relating to land access and agricultural policy.,https://www.kulturland.de/partner,,
A022,A025,Heinrich Böll Stiftung,Wir haben es satt!,undirected,Institutional/Organisational,The Heinrich Böll Stiftung supports and hosts activities associated with the “Wir haben es satt!” movement during the annual Green Week programme.,https://www.boell.de/de/agraroekologie-quelle-des-wandels,,
A069,A023,FÖL Berlin-Brandenburg,Bündnis Junge Landwirtschaft,directed,Institutional/Organisational,"Bündnis Junge Landwirtschaft is hosted by FÖL Berlin-Brandenburg, with its registered office located at the FÖL offices.",https://www.buendnisjungelandwirtschaft.org/impressum,,
A023,A067,Bündnis Junge Landwirtschaft,Kulturland eG,undirected,Institutional/Organisational,Kulturland eG identifies Bündnis Junge Landwirtschaft as an official partner in its land access and agroecology network.,https://www.kulturland.de/partner,,
A026,A024,"Bundesministerium für Landwirtschaft, Ernährung und Heimat (BMLEH)",Einführungsseminare Ökolandbau,directed,Financial,"The introductory seminars are funded through the Federal Organic Farming Scheme (BÖL), which is commissioned by the BMLEH.",https://einfuehrungsseminare-oekolandbau.de/,,
